Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Health	1	1	1	7		5				4	1	red-dmg		1	1										tors	shld	ring	amul	circ								0	0
of Protection	1	1	1	18		13				4	1	red-dmg		2	2										ring	amul	circ										0	0
of Absorption	1	1	1	26		19				4	1	red-dmg		3	3										amul	circ											0	0
of Life	1	1	1	35		26				4	1	red-dmg		4	4									dblu	amul	circ											0	0
of Life Everlasting	100	1		45		37				4	1	red-dmg		10	25										amul	circ											0	0
of Protection	1	1	1	24		18				4	1	red-dmg		2	2										tors	shld	circ										0	0
of Absorption	1	1	1	32		24				4	1	red-dmg		3	3										tors	shld	circ										0	0
of Life	1	1	1	41		33				4	1	red-dmg		4	7										tors	shld	circ										0	0
of Anima	100	1		51		43				4	1	red-dmg		8	15										tors	shld	circ										0	0
of Protection	100	1		18		13				8	1	red-dmg		4	4										amul	circ											0	0
of Shielding	100	1		26		19				8	1	red-dmg		6	6										amul	circ											0	0
of Warding	100	1		35		26				8	1	red-dmg		8	8										amul	circ											0	0
of Safe Harbor	100	1		45		37				8	1	red-dmg		20	50										amul	circ											0	0
of Protection	100	1		24		18				8	1	red-dmg		4	4										tors	shld											0	0
of Warding	100	1		32		24				8	1	red-dmg		6	6										tors	shld											0	0
of Invulnerability	100	1		41		33				8	1	red-dmg		8	14										tors	shld											0	0
of Invincibility	100	1		51		43				8	1	red-dmg		16	30										tors	shld											0	0
																																						
of Warding	1	1	1	7		5				4	2	red-mag		2	2										tors	shld	ring	amul	orb	circ							0	0
of the Sentinel	1	1	1	18		12				4	2	red-mag		4	4										ring	amul	orb	circ									0	0
of Guarding	1	1	1	26		19				4	2	red-mag		6	6										amul	orb	circ										0	0
of Negation	100	1		42		35				8	2	red-mag		8	12										amul	orb	circ										0	0
of the Sentinel	1	1	1	24		18				8	2	red-mag		4	4										tors	shld	circ										0	0
of Guarding	1	1	1	32		24				8	2	red-mag		6	6										tors	shld	circ										0	0
of Negation	100	1		41		33				8	2	red-mag		8	12										tors	shld	circ										0	0
of Antimagic	100	1		7		5				8	2	red-mag		4	4										amul	orb	circ	staf									0	0
of the Abyss	100	1		18		12				8	2	red-mag		8	8										amul	orb	circ	staf									0	0
of Silence	100	1		26		19				8	2	red-mag		12	12										amul	orb	tors	shld	ring	circ							0	0
of Sigils	100	1		42		35				8	2	red-mag		16	24										amul	orb	tors	shld	ring	circ							0	0
of Signs	100	1		76		53				8	2	red-mag		32	50										amul	orb	tors	shld	ring	circ							0	0
																																						
of Coolness	100	1	1	11		8				1	3	abs-fire		2	2										tors	shld	boot	circ	staf	wand	orb						0	0
of Incombustibility	100	1	1	19		14				1	3	abs-fire		3	3										tors	shld	boot	circ	staf	wand	orb						0	0
of Amianthus	100	1	1	28		21				1	3	abs-fire		4	5										tors	shld	boot	circ	staf	wand	orb						0	0
of Fire Quenching	100	1		38		30				1	3	abs-fire		6	8										tors	shld	boot	circ	staf	wand	orb						0	0
of Coolness	100	1	1	13		9				1	3	abs-fire		2	2										ring	amul	orb	circ	staf	wand	orb						0	0
of Incombustibility	100	1	1	22		16				1	3	abs-fire		3	3										amul	orb	circ	staf	wand	orb							0	0
of Amianthus	100	1	1	33		25				1	3	abs-fire		4	5										amul	orb	circ	staf	wand	orb							0	0
of Fire Quenching	100	1		46		38				1	3	abs-fire		6	8										amul	orb	circ	staf	wand	orb							0	0
of Faith	100	1	1	23		17				1	3	abs-fire		1	2										jewl												0	0
of Resistance	100	1	1	11		8				1	3	abs-ltng		2	2										tors	shld	boot	circ	staf	wand	orb						0	0
of Insulation	100	1	1	19		14				1	3	abs-ltng		3	3										tors	shld	boot	circ	staf	wand	orb						0	0
of Grounding	100	1	1	28		21				1	3	abs-ltng		4	5										tors	shld	boot	circ	staf	wand	orb						0	0
of the Dynamo	100	1		38		30				1	3	abs-ltng		6	8										tors	shld	boot	circ	staf	wand	orb						0	0
of Resistance	100	1	1	13		9				1	3	abs-ltng		2	2										ring	amul	orb	circ	staf	wand	orb						0	0
of Insulation	100	1	1	22		16				1	3	abs-ltng		3	3										amul	orb	circ	staf	wand	orb							0	0
of Grounding	100	1	1	33		25				1	3	abs-ltng		4	5										amul	orb	circ	staf	wand	orb							0	0
of the Dynamo	100	1		46		38				1	3	abs-ltng		6	8										amul	orb	circ	staf	wand	orb							0	0
of Stoicism	100	1	1	22		16				1	3	abs-ltng		1	2										jewl												0	0
of Warming	100	1	1	11		8				1	3	abs-cold		2	2										tors	shld	boot	circ	staf	wand	orb						0	0
of Thawing	100	1	1	19		14				1	3	abs-cold		3	3										tors	shld	boot	circ	staf	wand	orb						0	0
of the Dunes	100	1	1	28		21				1	3	abs-cold		4	5										tors	shld	boot	circ	staf	wand	orb						0	0
of the Sirocco	100	1		38		30				1	3	abs-cold		6	8										tors	shld	boot	circ	staf	wand	orb						0	0
of Warming	100	1	1	13		9				1	3	abs-cold		2	2										ring	amul	orb	circ	staf	wand	orb						0	0
of Thawing	100	1	1	22		16				1	3	abs-cold		3	3										amul	orb	circ	staf	wand	orb							0	0
of the Dunes	100	1	1	33		25				1	3	abs-cold		4	5										amul	orb	circ	staf	wand	orb							0	0
of the Sirocco	100	1		46		38				1	3	abs-cold		6	8										amul	orb	circ	staf	wand	orb							0	0
