Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	92	147	6	108	173	8	108	216	8	108	216	8	119	922	7	107	1107	2	3	4	2	3	4	30	78	117	30	78	117
2	12	102	162	12	120	190	12	126	254	12	126	254	10	126	947	9	113	1136	3	4	6	3	4	6	40	104	156	40	104	156
3	18	112	177	18	132	208	18	144	292	18	144	292	13	133	972	12	120	1167	3	4	6	3	4	6	50	131	197	50	131	197
4	24	122	192	24	144	226	26	162	330	26	162	330	17	139	997	15	125	1196	4	5	7	4	5	7	60	156	234	60	156	234
5	30	133	207	30	156	243	35	180	368	35	180	368	19	147	1022	17	132	1227	4	5	7	4	5	7	70	182	273	70	182	273
6	36	143	222	36	168	261	45	198	406	45	198	406	22	154	1047	20	139	1256	5	7	9	5	7	9	80	207	311	80	207	311
7	42	153	236	42	180	278	56	216	444	56	216	444	26	161	1072	23	145	1287	5	7	9	5	7	9	90	234	351	90	234	351
8	48	163	252	48	192	296	67	234	482	67	234	482	30	169	1097	27	152	1316	6	8	11	6	8	11	100	260	390	100	260	390
9	54	173	267	54	204	314	78	252	520	78	252	520	34	174	1122	31	157	1347	7	9	13	7	9	13	110	285	428	110	285	428
10	60	184	281	60	216	331	89	270	558	89	270	558	39	182	1147	35	164	1376	7	9	13	7	9	13	120	312	468	120	312	468
11	66	194	297	66	228	349	100	288	596	100	288	596	40	190	1172	36	171	1407	8	11	15	8	11	15	130	338	507	130	338	507
12	72	204	311	72	240	366	111	306	634	111	306	634	44	197	1197	40	177	1436	8	11	15	8	11	15	140	363	545	140	363	545
13	78	214	326	78	252	384	122	324	672	122	324	672	49	204	1222	44	184	1467	9	12	17	9	12	17	154	401	602	154	401	602
14	84	224	342	84	264	402	133	342	710	133	342	710	53	210	1247	48	189	1496	10	13	19	10	13	19	169	440	660	169	440	660
15	90	235	356	90	276	419	144	360	748	144	360	748	58	218	1272	52	196	1527	10	13	19	10	13	19	186	482	723	186	482	723
16	96	245	371	96	288	437	155	378	786	155	378	786	62	226	1297	56	203	1556	11	15	20	11	15	20	205	533	800	205	533	800
17	102	255	386	102	300	454	166	396	824	166	396	824	67	232	1322	60	209	1587	11	15	20	11	15	20	225	584	876	225	584	876
18	108	265	401	108	312	472	177	414	862	177	414	862	71	240	1347	64	216	1616	12	16	22	12	16	22	248	644	966	248	644	966
19	114	275	417	114	324	490	188	432	900	188	432	900	76	246	1372	68	221	1647	13	17	24	13	17	24	273	708	1062	273	708	1062
20	120	286	431	120	336	507	199	450	938	199	450	938	81	253	1397	73	228	1676	13	17	24	13	17	24	300	779	1169	300	779	1169
21	126	296	446	126	348	525	210	468	976	210	468	976	87	262	1422	78	236	1707	14	19	26	14	19	26	330	857	1286	330	857	1286
22	132	306	461	132	360	542	221	486	1014	221	486	1014	93	270	1447	84	243	1736	14	19	26	14	19	26	363	942	1413	363	942	1413
23	138	316	476	138	372	560	232	504	1052	232	504	1052	99	276	1472	89	248	1767	15	20	28	15	20	28	399	1035	1553	399	1035	1553
24	144	326	491	144	384	578	243	522	1090	243	522	1090	104	283	1497	94	255	1796	16	21	30	16	21	30	439	1139	1709	439	1139	1709
25	150	337	506	150	396	595	254	540	1128	254	540	1128	111	290	1522	100	261	1827	16	21	30	16	21	30	470	1220	1830	470	1220	1830
26	156	347	521	156	408	613	265	558	1166	265	558	1166	118	298	1547	106	268	1856	17	23	31	17	23	31	503	1305	1958	503	1305	1958
27	162	357	536	162	420	630	276	576	1204	276	576	1204	126	306	1572	113	275	1887	17	23	31	17	23	31	538	1397	2096	538	1397	2096
28	168	367	551	168	432	648	287	594	1242	287	594	1242	133	311	1597	120	280	1916	18	24	33	18	24	33	576	1494	2241	576	1494	2241
29	174	377	566	174	444	666	298	612	1280	298	612	1280	140	319	1622	126	287	1947	19	25	35	19	25	35	616	1598	2397	616	1598	2397
30	180	388	581	180	456	683	309	630	1318	309	630	1318	149	356	1647	134	320	1976	19	25	35	19	25	35	659	1709	2564	659	1709	2564
31	186	398	596	186	468	701	320	648	1356	320	648	1356	158	394	1672	142	355	2007	20	27	37	20	27	37	706	1832	2748	706	1832	2748
32	192	408	610	192	480	718	331	666	1394	331	666	1394	167	431	1697	150	388	2036	20	27	37	20	27	37	755	1958	2937	755	1958	2937
33	198	418	626	198	492	736	342	684	1432	342	684	1432	176	470	1722	158	423	2067	21	28	39	21	28	39	808	2097	3146	808	2097	3146
34	204	428	641	204	504	754	353	702	1470	353	702	1470	184	507	1747	166	456	2096	22	29	41	22	29	41	864	2241	3362	864	2241	3362
35	210	439	655	210	516	771	364	720	1508	364	720	1508	193	546	1772	174	491	2127	22	29	41	22	29	41	925	2399	3599	925	2399	3599
36	216	449	671	216	528	789	375	738	1546	375	738	1546	202	583	1797	182	525	2156	23	31	43	23	31	43	990	2568	3852	990	2568	3852
37	222	459	685	222	540	806	386	756	1584	386	756	1584	211	621	1822	190	559	2187	23	31	43	23	31	43	1059	2745	4118	1059	2745	4118
38	228	469	700	228	552	824	397	774	1622	397	774	1622	220	659	1847	198	593	2216	24	32	44	24	32	44	1133	2939	4409	1133	2939	4409
39	234	479	716	234	564	842	408	792	1660	408	792	1660	229	697	1872	206	627	2247	25	33	46	25	33	46	1212	3144	4716	1212	3144	4716
40	240	490	730	240	576	859	419	810	1698	419	810	1698	239	734	1897	215	661	2276	25	33	46	25	33	46	1297	3365	5048	1297	3365	5048
41	246	500	745	246	588	877	430	828	1736	430	828	1736	250	773	1922	225	696	2307	26	35	48	26	35	48	1388	3600	5400	1388	3600	5400
42	252	510	760	252	600	894	441	846	1774	441	846	1774	260	810	1947	234	729	2336	26	35	48	26	35	48	1485	3852	5778	1485	3852	5778
43	258	520	775	258	612	912	452	864	1812	452	864	1812	270	849	1972	243	764	2367	27	36	50	27	36	50	1589	4121	6182	1589	4121	6182
44	264	530	791	264	624	930	463	882	1850	463	882	1850	281	886	1997	253	797	2396	28	37	52	28	37	52	1693	4409	6614	1693	4409	6614
45	270	541	805	270	636	947	474	900	1888	474	900	1888	291	924	2022	262	832	2427	28	37	52	28	37	52	1797	4718	7077	1797	4718	7077
46	276	551	820	276	648	965	485	918	1926	485	918	1926	301	963	2047	271	867	2456	29	39	54	29	39	54	1901	5051	7577	1901	5051	7577
47	282	561	835	282	660	982	496	936	1964	496	936	1964	312	1000	2072	281	900	2487	29	39	54	29	39	54	2005	5402	8103	2005	5402	8103
48	288	571	850	288	672	1000	507	954	2002	507	954	2002	322	1039	2097	290	935	2516	30	40	56	30	40	56	2109	5783	8675	2109	5783	8675
49	294	581	865	294	684	1018	518	972	2040	518	972	2040	332	1076	2122	299	968	2547	31	41	57	31	41	57	2213	6186	9279	2213	6186	9279
50	300	592	880	300	696	1035	529	990	2078	529	990	2078	344	1114	2147	310	1003	2576	31	41	57	31	41	57	2317	6618	9927	2317	6618	9927
51	306	602	895	306	708	1053	540	1008	2116	540	1008	2116	357	1152	2172	321	1037	2607	32	43	59	32	43	59	2421	7080	10620	2421	7080	10620
52	312	612	910	312	720	1070	551	1026	2154	551	1026	2154	368	1190	2197	331	1071	2636	32	43	59	32	43	59	2525	7506	11259	2525	7506	11259
53	318	622	925	318	732	1088	562	1044	2192	562	1044	2192	380	1228	2222	342	1105	2667	33	44	61	33	44	61	2629	7956	11934	2629	7956	11934
54	324	632	940	324	744	1106	573	1062	2230	573	1062	2230	391	1266	2256	352	1139	2707	34	45	63	34	45	63	2733	8435	12653	2733	8435	12653
55	330	643	955	330	756	1123	584	1080	2268	584	1080	2268	403	1303	2306	363	1173	2767	34	45	63	34	45	63	2837	8942	13413	2837	8942	13413
56	336	653	970	336	768	1141	595	1098	2306	595	1098	2306	416	1342	2372	374	1208	2847	35	47	65	35	47	65	2941	9477	14216	2941	9477	14216
57	342	663	984	342	780	1158	606	1116	2344	606	1116	2344	427	1379	2469	384	1241	2962	35	47	65	35	47	65	3045	10044	15066	3045	10044	15066
58	348	673	1000	348	792	1176	617	1134	2382	617	1134	2382	439	1418	2564	395	1276	3077	36	48	67	36	48	67	3149	10647	15971	3149	10647	15971
