index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	worldevent	*eol
Arctic Horn	0	Arctic Gear	sbw	Short Bow	7	1	1	lgld	lgld						3	17	2	att%		20	20	dmg%		225	225																													att/lvl	16							dmg-cold	75	20	30																														0
Arctic Furs	1	Arctic Gear	qui	Quilted Armor	7	1	1	lgld	lgld						3	17	2	ac%		275	325	res-all		10	10																													ac/lvl	24							res-cold		15	15																														0
Arctic Binding	2	Arctic Gear	vbl	Light Belt	7	1	1	lgld	lgld						3	17	2	res-cold		40	40	ac		30	30																													mag%		40	40					res-cold		10	10																														0
Arctic Mitts	3	Arctic Gear	tgl	Light Gauntlets	7	1	1	lgld	lgld						3	17	2	hp		20	20	swing1		10	10																													att		50	50					dex		10	10																														0
Hsarus' Iron Stay	4	Hsarus' Defense	mbt	Chain Boots	7	4	3	dred	dred						3	17	2	res-fire		25	25	move2		20	20																													att/lvl	20																																								0
Hsarus' Iron Stay	5	Hsarus' Defense	buc	Buckler	7	4	3	dred	dred						3	17	2	red-dmg		2	2	str		10	10																													ac/lvl	20																																								0
Hsarus' Iron Stay	6	Hsarus' Defense	mbl	Belt	7	4	3	dred	dred						3	17	2	res-cold		20	20	hp		20	20																													ac/lvl	20																																								0
Cleglaw's Tooth	7	Cleglaw's Brace	lsd	Long Sword	7	6	4	lred	lred						3	17	2	att%		30	30	deadly		50	50	dmg%		100	100																									dmg/lvl	10																																								0
Cleglaw's Claw	8	Cleglaw's Brace	sml	Small Shield	7	6	4	lred	lred						3	17	2	ac		17	17	res-pois-len		75	75																													res-all		15	15																																						0
Cleglaw's Pincers	9	Cleglaw's Brace	mgl	Chain Gloves	7	6	4	lred	lred						3	17	2	knock		1	1	slow		25	25																													att/lvl	20																																								0
Berserker's Headgear	10	Berserker's Garb	hlm	Helm	7	5	3	dred	dred						3	17	2	ac		15	15	res-fire		25	25																													att/lvl	16																																								0
Berserker's Hauberk	11	Berserker's Garb	spl	Splint Mail	7	5	3	dred	dred						3	17	2	red-mag		2	2	bar		1	1																													ac/lvl	24																																								0
Berserker's Hatchet	12	Berserker's Garb	axe	Axe	7	5	3	dred	dred						3	17	2	att%		30	30	lifesteal		5	5	dmg%		150	150																									dmg%		50	50																																						0
Infernal Cranium	13	Infernal Tools	cap	Cap	7	7	5	lyel	lyel						3	17	2	res-all		10	10	dmg-to-mana		20	20																													ac/lvl	16																																								0
Infernal Torch	14	Infernal Tools	gwn	Grim Wand	7	7	5	lyel	lyel						3	17	2	extra-skeletons		1	1	nec		1	1																													att/lvl	20																																								0
Infernal Sign	15	Infernal Tools	tbl	Heavy Belt	7	7	5	lyel	lyel						3	17	2	ac		25	25	hp		20	20																													res-pois		25	25					half-freeze		1	1																														0
Death's Hand	16	Death's Disguise	lgl	Leather Gloves	7	8	6	lred	lred						3	17	2	res-pois		35	35	res-pois-len		75	75																													swing3		30	30																																						0
Death's Guard	17	Death's Disguise	lbl	Sash	7	8	6	lred	lred						3	17	2	ac		20	20	nofreeze		1	1																													res-all		15	15																																						0
Death's Touch	18	Death's Disguise	wsd	War Sword	7	8	6	lred	lred						3	17	2	dmg%		25	25	lifesteal		4	4																													dmg-cold	75	25	75																																						0
Sigon's Gage	19	Sigon's Complete Steel	hgl	Gauntlets	7	9	6	whit	whit						3	17	2	str		10	10	att		20	20																													swing3		30	30																																						0
Sigon's Visor	20	Sigon's Complete Steel	ghm	Great Helm	7	9	6	whit	whit						3	17	2	mana		30	30	ac		25	25																													att/lvl	16																																								0
Sigon's Shelter	21	Sigon's Complete Steel	gth	Gothic Plate	7	9	6	whit	whit						3	17	2	ac%		25	25	res-ltng		30	30																													thorns		20	20																																						0
Sigon's Sabot	22	Sigon's Complete Steel	hbt	Greaves	7	9	6	whit	whit						3	17	2	move2		20	20	res-cold		40	40																													att		50	50					mag%		50	50																														0
Sigon's Wrap	23	Sigon's Complete Steel	hbl	Plated Belt	7	9	6	whit	whit						3	17	2	res-fire		20	20	hp		20	20																													ac/lvl	16																																								0
Sigon's Guard	24	Sigon's Complete Steel	tow	Tower Shield	7	9	6	whit	whit						3	17	2	allskills		1	1	block		20	20																																																																						0
Isenhart's Lightbrand	25	Isenhart's Armory	bsd	Broad Sword	7	11	8	lgld	lgld						3	17	2	dmg-min		10	10	swing2		20	20																													att/lvl	10																																								0
Isenhart's Parry	26	Isenhart's Armory	gts	Gothic Shield	7	11	8	lgld	lgld						3	17	2	ac		40	40	light-thorns		4	4																													res-all		8	8																																						0
Isenhart's Case	27	Isenhart's Armory	brs	Breast Plate	7	11	8	lgld	lgld						3	17	2	ac		40	40	red-mag		2	2																													ac/lvl	16																																								0
Isenhart's Horns	28	Isenhart's Armory	fhl	Full Helm	7	11	8	lgld	lgld						3	17	2	dex		6	6	red-dmg		2	2																													res-all		8	8																																						0
Civerb's Ward	29	Civerb's Vestments	lrg	Large Shield	7	13	9	lyel	lyel						3	17	1	ac		15	15	block		15	15																													mana		21	22					res-pois		25	26																														0
Civerb's Icon	30	Civerb's Vestments	amu	Amulet	7	13	9	lyel	lyel						3	17	2	regen-mana		40	40	regen		4	4																													res-cold		25	25					ac		25	25																														0
Civerb's Cudgel	31	Civerb's Vestments	gsc	Grand Scepter	7	13	9	lyel	lyel						3	17		att		75	75	dmg-max		17	23	pal		1	1																									dmg/lvl	8																																								0
Cathan's Rule	32	Cathan's Traps	bst	Battle Staff	7	15	11	dgrn	dgrn						3	17	2	fireskill		1	1	fire-max		10	10																													mana		50	50					res-all		10	10																														0
Cathan's Mesh	33	Cathan's Traps	chn	Chain Mail	7	15	11	dgrn	dgrn						3	17	2	ac		15	15	ease		-50	-50																													thorns		5	5					res-fire		30	30																														0
Cathan's Visage	34	Cathan's Traps	msk	Mask	7	15	11	dgrn	dgrn						3	17	2	mana		20	20	res-cold		25	25																													ac/lvl	16																																								0
Cathan's Sigil	35	Cathan's Traps	amu	Amulet	7	15	11	dgrn	dgrn						3	17	2	balance1		10	10	light-thorns		5	5																													att		50	50					mag%		25	25																														0
Cathan's Seal	36	Cathan's Traps	rin	Ring	7	15	11	dgrn	dgrn						3	17	2	lifesteal		6	6	red-dmg		2	2																													str		10	10																																						0
Angelic Sickle	37	Angelical Raiment	sbr	Sabre	7	17	12	lgry	lgry						3	17	2	att		75	75	dmg-undead		250	250																													dmg%		75	75					swing3		30	30																														0
Angelic Mantle	38	Angelical Raiment	rng	Ring Mail	7	17	12	lgry	lgry						3	17	2	red-dmg		3	3	ac%		40	40																													ac		150	150					res-fire		50	50																														0
Angelic Halo	39	Angelical Raiment	rin	Ring	3	17	12	lgry	lgry						3	17	2	regen		6	6	hp		20	20																													att/lvl	24							mag%		50	50																														0
Angelic Wings	40	Angelical Raiment	amu	Amulet	7	17	12	lgry	lgry						3	17	2	light		3	3	dmg-to-mana		20	20																													hp		75	75					allskills		1	1																														0
Vidala's Barb	41	Vidala's Rig	lbb	Long Battle Bow	7	19	14	blac	blac						3	17	2	ltng-min		1	1	ltng-max		80	80																													att/lvl	16																																								0
Vidala's Fetlock	42	Vidala's Rig	tbt	Light Plated Boots	7	19	14	blac	blac						3	17	2	stam		150	150	move3		30	30																													res-all		8	8																																						0
Vidala's Ambush	43	Vidala's Rig	lea	Leather Armor	7	19	14	blac	blac						3	17	2	ac		50	50	dex		11	11																													res-fire		24	24					ac/lvl	20																																0
Vidala's Snare	44	Vidala's Rig	amu	Amulet	7	19	14	blac	blac						3	17	2	hp		15	15	res-cold		20	20																													mag%		50	50																																						0
McAuley's Paragon	45	McAuley's Folly	cap	Cap	3	20	25	lpur	lpur						3	33		mag%		35	35	thorns		8	8	ac/lvl	8																																																																				0
McAuley's Riprap	46	McAuley's Folly	vbt	Heavy Boots	7	20	20	lpur	lpur						3	33		move3		40	40	att		100	100	str		5	5	dex		10	10																																																														0
McAuley's Taboo	47	McAuley's Folly	vgl	Heavy Gloves	7	20	28	lpur	lpur						3	33		ac		20	25	swing2		20	20	hp		40	40	dmg-pois	75	30	36																																																														0
McAuley's Superstition	48	McAuley's Folly	bwn	Bone Wand	7	20	25	lpur	lpur						3	33		dmg%	2	75	75	mana		25	25	manasteal		8	8	cast3		20	20	dmg-cold	50	25	75																																																										0
Cow King's Horns	49	Cow King's Leathers	xap	War Hat	7	20	25								3	33		ac		75	75	half-freeze		1	1	dmg-to-mana		35	35	thorns		10	10																																																														0
Cow King's Hide	50	Cow King's Leathers	stu	Studded Leather	7	20	18								3	33		res-all		18	18	ac%		60	60	hp		30	30	gethit-skill	53	18	5																																																														0
Cow King's Hoofs	51	Cow King's Leathers	vbt	Heavy Boots	7	20	13								3	33		ac		25	35	move3		30	30	mag%		25	25	dex		20	20	dmg-fire		25	35																																																										0
Arcanna's Sign	52	Arcanna's Tricks	amu	Amulet	1	20	15	blac	blac						3	17	2	mana		15	15	regen-mana		20	20																													mag%		50	50					res-fire		20	20																														0
Arcanna's Deathwand	53	Arcanna's Tricks	wst	War Staff	7	20	15	blac	blac						3	17	2	sor		1	1	nec		1	1																													mana		50	50					regen-mana		5	5																														0
Arcanna's Head	54	Arcanna's Tricks	skp	Skull Cap	7	20	15	blac	blac						3	17	2	regen		4	4	thorns		2	2																													ac/lvl	24							res-ltng		15	15																														0
Arcanna's Flesh	55	Arcanna's Tricks	ltp	Light Plate	7	20	15	blac	blac						3	17	2	light		2	2	red-dmg		3	3																													ac		100	100					enr		10	10																														0
Iratha's Collar	56	Iratha's Finery	amu	Amulet	7	21	15	lgry	lgry						3	17	2	res-pois		30	30	res-pois-len		75	75																													res-all		15	15																																						0
Iratha's Cuff	57	Iratha's Finery	tgl	Light Gauntlets	7	21	15	lgry	lgry						3	17	2	res-cold		30	30	half-freeze		1	1																													swing2		20	20																																						0
