Sound	*Index	Redirect	Channel	FileName	IsLocal	IsMusic	IsAmbientScene	IsAmbientEvent	IsUI	Volume Min	Volume Max	Pitch Min	Pitch Max	Group Size	Group Weight	Loop	Fade In	Fade Out	Defer Inst	Stop Inst	Duration	Compound	Falloff	LFEMix	3dSpread	Priority	Stream	Is2D	Tracking	Solo	Music Vol	Block 1	Block 2	Block 3	HDOptOut	Delay	4731
	0			none.flac	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	
cursor_pass	1	cursor_pass_hd_4	sfx/cursor-ui_sd	cursor\pass.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_select	2	cursor_select_hd	sfx/cursor-ui_sd	cursor\select.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_error	3	cursor_error_hd	sfx/cursor-ui_sd	cursor\windowopen.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	120	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_button_click	4	cursor_button_hd_1	sfx/cursor-ui_sd	cursor\button.flac	0	0	0	0	1	142	160	100	100	0	0	0	0	0	0	1	0	0	1	0	120	100	0	1	0	0	0	-1	-1	-1	0	0	
cursor_point_drop	5	cursor_point_drop_hd_1	sfx/cursor-ui_sd	cursor\pointdrop.flac	0	0	0	0	1	220	220	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_switch	6	cursor_error_hd	sfx/cursor-ui_sd	cursor\windowopen.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	120	100	0	0	0	0	0	-1	-1	-1	0	0	
cursor_level_up	7	cursor_level_up_hd_2	sfx/cursor-ui_sd	cursor\levelup.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_level_up_hireling	8	cursor_level_up_hireling_hd_3	sfx/cursor-ui_sd	cursor\leveluphireling.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	1	0	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
cursor_durability_break	9	cursor_durability_break_hd_4	sfx/cursor-ui_sd	cursor\itembroken.flac	0	0	0	0	1	255	255	100	100	0	0	0	0	0	0	1	0	0	1	0	120	255	0	0	0	0	0	-1	-1	-1	0	0	
